número_experimento;dataset;estructura_de_datos;cantidad_consultas;tiempo_ejecucion
1;universities_followers;Hash_abierto;;25
2;universities_followers;Hash_abierto;;21
3;universities_followers;Hash_abierto;;22
4;universities_followers;Hash_abierto;;23
5;universities_followers;Hash_abierto;;22
6;universities_followers;Hash_abierto;;22
7;universities_followers;Hash_abierto;;21
8;universities_followers;Hash_abierto;;21
9;universities_followers;Hash_abierto;;22
10;universities_followers;Hash_abierto;;21
11;universities_followers;Hash_abierto;;21
12;universities_followers;Hash_abierto;;22
13;universities_followers;Hash_abierto;;21
14;universities_followers;Hash_abierto;;22
15;universities_followers;Hash_abierto;;22
16;universities_followers;Hash_abierto;;22
17;universities_followers;Hash_abierto;;22
18;universities_followers;Hash_abierto;;22
19;universities_followers;Hash_abierto;;21
20;universities_followers;Hash_abierto;;22
